lat,loc,lon
41.3984761,"Ransom, PA",-75.77203279999998
37.7749295,"San Francisco, CA",-122.4194155
44.96302160000001,"Oakdale, MN",-92.9649361
31.957581800000003,"Sahuarita, AZ",-110.955646
33.177294,"San Tan Valley, AZ",-111.5468301
41.67176480000001,"Bristol, CT",-72.9492703
43.4710944,"Baraboo, WI",-89.74429060000001
40.5142026,"Normal, IL",-88.99063120000002
39.2776156,"Ocean City, NJ",-74.5746001
33.3061605,"Chandler, AZ",-111.8412502
40.44062479999999,"Pittsburgh, PA",-79.9958864
40.7607793,"Salt Lake, UT",-111.89104740000002
39.5480789,"Highlands Ranch, CO",-104.97393329999998
32.715738,"San Diego, CA",-117.1610838
45.9805556,"Little Falls, MN",-94.3694444
39.44033599999999,"Monroe, OH",-84.36216340000001
34.949567200000004,"Spartanburg, SC",-81.93204820000003
35.99403289999999,"Durham, NC",-78.898619
30.3321838,"Jacksonville, FL",-81.65565099999998
30.505198,"Cedar Park, TX",-97.8202888
42.492786,"Waterloo, IA",-92.3425775
43.34655520000001,"Pawlet, VT",-73.177286
39.95276339999999,"Superior, CO",-105.1685977
26.6253497,"Lehigh Acres, FL",-81.6248026
38.2526647,"Louisville, KY",-85.7584557
33.6803003,"Coachella, CA",-116.173894
42.1290753,"Gross Ile, MI",-83.14459040000001
36.0956918,"Burlington, NC",-79.43779909999998
41.2753589,"Plains, PA",-75.8501955
36.20772879999999,"Tulare, CA",-119.3473379
36.4778428,"Clarkridge, AR",-92.3512705
28.0341847,"Oldsmar, FL",-82.66509920000001
34.483901,"South Lake Havasu City, AZ",-114.3224548
35.4675602,"South Oklahoma City, OK",-97.5164276
42.0548167,"Southwick, MA",-72.7703724
40.67940720000001,"Ozone Park, NY",-73.85072790000002
29.9012437,"St augustine, FL",-81.31243409999998
40.8964465,"Philipsburg, PA",-78.2205688
39.41539119999999,"Earleville, MD",-75.9174417
38.855419,"Crystal City, VA",-77.05212890000001
48.01509799999999,"Lake Stevens, WA",-122.0637425
39.63452589999999,"Westover, WV",-79.9697862
44.51915899999999,"Green Bay, WI",-88.019826
40.24537410000001,"Pottstown, PA",-75.6496302
37.2709704,"Roanoke, VA",-79.9414266
30.267153000000004,"Austin, TX",-97.7430608
40.691613200000006,"West Valley City, UT",-112.0010501
40.7607793,"Salt Lake City, UT",-111.89104740000002
27.950575,"Tampa, FL",-82.4571776
36.1539816,"Tulsa, OK",-95.992775
39.9525839,"Philadelphia, PA",-75.1652215
39.5359406,"Bel Air, MD",-76.34829309999998
42.1200456,"Vicksburg, MI",-85.532775
43.0389025,"Milwaukee, WI",-87.9064736
38.9917797,"Wildwood, NJ",-74.81488940000001
37.9577016,"Stockton, CA",-121.29077959999998
41.5772115,"West Des Moines, IA",-93.711332
33.296224,"Helena, AL",-86.84360040000001
45.52306220000001,"Portland, OR",-122.6764815
34.7137729,"Hubert, NC",-77.2452328
38.2975381,"Napa, CA",-122.286865
33.4483771,"Phoenix, AZ",-112.0740373
42.4625362,"Hazel Park, MI",-83.1040912
39.6136578,"Greenwood, IN",-86.10665259999998
35.4397037,"Munford, TN",-89.81772079999998
21.3420741,"Pearl Harbor, HI",-157.9642869
40.69933030000001,"Kearney, NE",-99.08167840000002
40.32756970000001,"Bethel Park, PA",-80.03949770000001
42.3369816,"Dearborn Heights, MI",-83.27326269999998
41.3832162,"Charlestown, RI",-71.64187439999998
35.2270869,"Charlotte, NC",-80.8431267
35.4325849,"Hartman, AR",-93.6154676
34.1321631,"Milton, GA",-84.30066599999998
30.4196584,"Lee, FL",-83.30042159999998
28.7030519,"Longwood, FL",-81.3384011
36.6770111,"Cassville, MO",-93.8688109
28.5383355,"Orlando, FL",-81.3792365
41.394817,"Danbury, CT",-73.45401109999997
44.9428975,"Salem, OR",-123.0350963
42.2917069,"Kalamazoo, MI",-85.5872286
36.1699412,"Las Vegas, NV",-115.13982959999998
41.92114229999999,"Elmwood Park, IL",-87.80922659999996
46.7162136,"Centralia, WA",-122.9542972
45.63183970000001,"Vancouver, WA",-122.6716063
